,,,,,Fontes:
Paracatu ,,paracatuense; paracatulino,,,
Paraguaçu ,,paraguaçuense,,,
Paraisópolis ,,paraisopolense; paraisopolitano,,,
Pará de Minas ,,pará-minense,,,
Passabém ,,passabenense,,,
Passos ,,passense,,,
Patos de Minas ,,patense; patureba,,,
Patrocínio,,patrocinense,,,
Paulistas ,,paulistano,,,
Peçanha ,,peçanhense,,,
Pedro Leopoldo ,,pedro-leopoldense,,,
Perdões ,,perdoense,,,
Pirapora ,,piraporense,,,
Piumhi ,,piuiense,,,
Poço Fundo ,,poço-fundense,,,
Poços de Caldas,,poços-caldense,,,
Pompéu ,,pompeano,,,
Ponte Nova ,,ponte-novense,,,
Porteirinha ,,porteirinhense,,,
Pouso Alegre ,,pouso-alegrense,,,
Prados ,,pradense,,,
Prata ,,pratense,,,
Queluzito ,,queluzitense,,,
Raul Soares ,,raul-soarense,,,
Ribeirão das Neves ,,nevense,,,
Ribeirão Vermelho ,,ribeirense,,,
Rio Casca ,,rio-casquense,,,
Rio Novo ,,rio-novense,,,
Rio Pardo de Minas ,,rio-pardense,,,
Ritápolis ,,ritapolitano,,,
Sabará ,,ritapolitano,,,
Salinas,,salinense,,,
Santa Bárbara,,santa-barbarense,,,
Santa Cruz do Escalvado ,,santa-cruzense,,,
Santa Luzia ,,luziense,,,
Santa Rita do Sapucaí ,,santa-ritense,,,
Santo Antônio do Monte ,,santo-antoniense,,,
Santos Dumont ,,sandumonense,,,
São Francisco ,,são-franciscano,,,
São Gonçalo do Sapucaí ,,são-gonçalense,,,
São Gotardo ,,são-gotardense,,,
São João da Mata ,,são-joanense,,,
São João Nepomuceno,,são-joanense,,,
São João da Ponte ,,pontense,,,
São João del-Rei,,são-joanense,,,
São José da Lapa ,,lapense,,,
São Lourenço ,,são-lourenciano,,,
São Sebastião do Paraíso ,,paraisense,,,
São Sebastião da Vargem Alegre ,,vargem-alegrense,,,
São Tomé das Letras ,,são-tomeense,,,
Senador Amaral,,amaralense,,,
Senador Firmino ,,firminense,,,
